"Methods ""wait(...)"", ""notify()"" and ""notifyAll()"" should not be called on Thread instances",480,"0,026633138504527"
switch statements should not contain non-case labels,470,"0,02607828145235"
Unused type parameters should be removed,460,"0,025523424400172"
indexOf checks should not be for positive numbers,420,"0,023303996191461"
Methods returns should not be invariant,416,"0,02308205337059"
Classes should not access their own subclasses during initialization,380,"0,021084567982751"
Zero should not be a possible denominator,345,"0,019142568300129"
"URL.hashCode and ""URL.equals"" should be avoided",340,"0,01886513977404"
Identical expressions should not be used on both sides of a binary operator,302,"0,016756682975765"
"Inappropriate ""Collection"" calls should not be made",285,"0,015813425987063"
BigDecimal(double) should not be used,270,"0,014981140408797"
for loop increment clauses should modify the loops' counters,260,"0,014426283356619"
Silly equality checks should not be made,255,"0,01414885483053"
Package declaration should match source file directory,245,"0,013593997778352"
Inner class calls to super class methods should be unambiguous,245,"0,013593997778352"
Silly math should not be performed,240,"0,013316569252264"
Getters and setters should be synchronized in pairs,235,"0,013039140726175"
"instanceof operators that always return ""true"" or ""false"" should be removed",215,"0,01192942662182"
Double-checked locking should not be used,180,"0,009987426939198"
"wait(...) should be used instead of ""Thread.sleep(...)"" when a lock is held",130,"0,007213141678309"
Collections should not be passed as arguments to their own methods,120,"0,006658284626132"
The Object.finalize() method should not be called,120,"0,006658284626132"
Conditionals should start on new lines,120,"0,006658284626132"
Raw byte values should not be used in bitwise operations in combination with shifts,120,"0,006658284626132"
Printf-style format strings should not lead to unexpected behavior at runtime,120,"0,006658284626132"
Redundant pairs of parentheses should be removed,115,"0,006380856100043"
Future keywords should not be used as names,105,"0,005825999047865"
Object.finalize() should remain protected (versus public) when overriding,100,"0,005548570521776"
Locks should be released,100,"0,005548570521776"
readResolve methods should be inheritable,95,"0,005271141995688"
"Unused ""private"" classes should be removed",90,"0,004993713469599"
Thread.run() should not be called directly,80,"0,004438856417421"
"equals method overrides should accept ""Object"" parameters",80,"0,004438856417421"
"wait, ""notify"" and ""notifyAll"" should only be called when a lock is obviously held on an object",80,"0,004438856417421"
"The signature of ""finalize()"" should match that of ""Object.finalize()""",70,"0,003883999365244"
notifyAll should be used,64,"0,003551085133937"
Enumeration should not be implemented,60,"0,003329142313066"
Child class methods named for parent class methods should be overrides,60,"0,003329142313066"
"hashCode and ""toString"" should not be called on array instances",50,"0,002774285260888"
File.createTempFile should not be used to create a directory,45,"0,002496856734799"
Non-serializable classes should not be written,45,"0,002496856734799"
"Objects should not be created only to ""getClass""",40,"0,002219428208711"
"Methods should not be named ""hashcode"" or ""equal""",40,"0,002219428208711"
Externalizable classes should have no-arguments constructors,40,"0,002219428208711"
Unused labels should be removed,40,"0,002219428208711"
Map values should not be replaced unconditionally,40,"0,002219428208711"
Custom serialization method signatures should meet requirements,40,"0,002219428208711"
Class names should not shadow interfaces or superclasses,35,"0,001941999682622"
Child class fields should not shadow parent class fields,35,"0,001941999682622"
Variables should not be self-assigned,30,"0,001664571156533"
"Classes extending java.lang.Thread should override the ""run"" method",30,"0,001664571156533"
"read and ""readLine"" return values should be used",30,"0,001664571156533"
ResultSet.isLast() should not be used,30,"0,001664571156533"
"toString() and ""clone()"" methods should not return null",25,"0,001387142630444"
Exception should not be created without being thrown,20,"0,001109714104355"
Loop conditions should be true at least once,20,"0,001109714104355"
"A ""for"" loop update clause should move the counter in the right direction",15,"0,000832285578266"
Optional value should only be accessed after calling isPresent(),10,"0,000554857052178"
Collection sizes and array length comparisons should make sense,8,"0,000443885641742"
"Expressions used in ""assert"" should not produce side effects",5,"0,000277428526089"
"StringBuilder and ""StringBuffer"" should not be instantiated with a character",5,"0,000277428526089"
"super.finalize() should be called at the end of ""Object.finalize()"" implementations",5,"0,000277428526089"
getClass should not be used for synchronization,5,"0,000277428526089"
"Classes with only ""static"" methods should not be instantiated",4,"0,000221942820871"
Err:510,2,"0,000110971410436"
"PreparedStatement and ""ResultSet"" methods should be called with valid indices",2,"0,000110971410436"
Non-constructor methods should not have the same name as the enclosing class,0,0
Silly bit operations should not be performed,0,0
"Lock objects should not be ""synchronized""",0,0
Intermediate Stream methods should not be left unused,0,0
"null should not be used with ""Optional""",0,0
"Week Year (""YYYY"") should not be used for date formatting",0,0
"Track uses of ""FIXME"" tags",0,0
"readObject should not be ""synchronized""",0,0
Neither DES (Data Encryption Standard) nor DESede (3DES) should be used,0,0
ScheduledThreadPoolExecutor should not have 0 core threads,0,0
"Threads should not be used where ""Runnables"" are expected",0,0
